treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
object category "I_ALCH_Solution_Oil_AttackBuff",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Oil_DamageAttackBuff",2,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Oil_RemoveResistanceFire",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Oil_Wizardsbane",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Oil_Reduce",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Oil_Combustion",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Oil_Bane",2,0,0,0,0,0,0,0
new treasuretable "Supply_Alchemy_Oil"
new subtable "2,1;3,1;4,1"
object category "T_Alchemy_Oil",1,0,0,0,0,0,0,0
new treasuretable "Alchemy_Poison"
new subtable "1,1"
StartLevel "1"
EndLevel "5"
object category "I_Solution_Toxin_Basic",2,0,0,0,0,0,0,0
object category "I_OBJ_SerpentVenom",0,0,0,0,0,0,0,0
object category "I_OBJ_WyvernPoison",0,0,0,0,0,0,0,0
object category "I_OBJ_PurpleWormPoison",0,0,0,0,0,0,0,0
object category "I_OBJ_BasicPoison",2,0,0,0,0,0,0,0
object category "I_OBJ_DrowPoison",1,0,0,0,0,0,0,0
object category "I_OBJ_CrawlerMucus",0,0,0,0,0,0,0,0
object category "I_OBJ_Malice",0,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "6"
EndLevel "8"
object category "I_Solution_Toxin_Basic",1,0,0,0,0,0,0,0
object category "I_OBJ_SerpentVenom",1,0,0,0,0,0,0,0
object category "I_OBJ_PurpleWormPoison",1,0,0,0,0,0,0,0
object category "I_OBJ_WyvernPoison",1,0,0,0,0,0,0,0
object category "I_OBJ_BasicPoison",1,0,0,0,0,0,0,0
object category "I_OBJ_DrowPoison",1,0,0,0,0,0,0,0
object category "I_OBJ_CrawlerMucus",0,0,0,0,0,0,0,0
object category "I_OBJ_Malice",0,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "9"
object category "I_Solution_Toxin_Basic",0,0,0,0,0,0,0,0
object category "I_OBJ_SerpentVenom",2,0,0,0,0,0,0,0
object category "I_OBJ_PurpleWormPoison",2,0,0,0,0,0,0,0
object category "I_OBJ_WyvernPoison",2,0,0,0,0,0,0,0
object category "I_OBJ_BasicPoison",0,0,0,0,0,0,0,0
object category "I_OBJ_DrowPoison",2,0,0,0,0,0,0,0
object category "I_OBJ_CrawlerMucus",1,0,0,0,0,0,0,0
object category "I_OBJ_Malice",2,0,0,0,0,0,0,0
new treasuretable "Supply_Alchemy_Poison"
new subtable "2,1;3,1;4,1"
object category "T_Alchemy_Poison",1,0,0,0,0,0,0,0
new treasuretable "Alchemy_Coating"
new subtable "1,1"
object category "T_Alchemy_Oil",1,0,0,0,0,0,0,0
object category "T_Alchemy_Poison",1,0,0,0,0,0,0,0
new treasuretable "Supply_Alchemy_Coating"
new subtable "2,1;3,1;4,1"
object category "T_Alchemy_Coating",1,0,0,0,0,0,0,0
new treasuretable "Alchemy_Coating_Supply"
new subtable "1,1"
object category "T_Supply_Alchemy_Coating",1,0,0,0,0,0,0,0
new treasuretable "GEN_Torch_Colored"
new subtable "1,1"
object category "I_WPN_Torch_Blue",1,0,0,0,0,0,0,0
object category "I_WPN_Torch_Green",1,0,0,0,0,0,0,0
object category "I_WPN_Torch_Purple",1,0,0,0,0,0,0,0
new treasuretable "GEN_Torch_Colored_Supply"
new subtable "2,1;3,1"
object category "T_GEN_Torch_Colored",1,0,0,0,0,0,0,0
new treasuretable "Monster_Eagle"
new subtable "1,1;2,1;3,1"
object category "I_ALCH_Ingredient_Part_EagleFeather",1,0,0,0,0,0,0,0
new subtable "0,4;1,3;2,1"
object category "T_FOR_Random_Ring_Str",1,0,0,0,0,0,0,0
object category "T_FOR_Random_Ring_Dex",1,0,0,0,0,0,0,0
new treasuretable "Monster_Hyena"
new subtable "1,3;2,1"
object category "I_ALCH_Ingredient_Part_HyenaEar",1,0,0,0,0,0,0,0
new treasuretable "Monster_Gnoll"
new subtable "1,1"
object category "T_Monster_Hyena",1,0,0,0,0,0,0,0
new treasuretable "Monster_Gremishka"
new subtable "1,1"
object category "I_ALCH_Ingredient_Part_GremishkaTail",1,0,0,0,0,0,0,0
new treasuretable "Monster_HookHorror"
CanMerge 1
new subtable "1,1"
object category "I_LOOT_Underdark_HookHorrorClaw",1,0,0,0,0,0,0,0
new treasuretable "Monster_IntellectDevourer"
new subtable "0,1;1,5"
object category "I_ALCH_Ingredient_Part_IntellectDevourer",1,0,0,0,0,0,0,0
new treasuretable "Monster_Mephit_Magma"
new subtable "1,1"
object category "I_ALCH_Ingredient_Part_MagmaMephitHeart",1,0,0,0,0,0,0,0
new treasuretable "Monster_Mephit_Mud"
new subtable "1,1"
object category "I_ALCH_Ingredient_Part_MudMephitWing",1,0,0,0,0,0,0,0
new treasuretable "Monster_Mindflayer"
new subtable "1,1"
object category "T_Valuables_Gems",1,0,0,0,0,0,0,0
object category "T_ST_Alchemy_Loot_Rare",1,0,0,0,0,0,0,0
new treasuretable "TUT_Monster_Mindflayer"
new subtable "1,1"
object category "T_Valuables_Gems",1,0,0,0,0,0,0,0
new treasuretable "Monster_Sahuagin"
new subtable "1,1; 2,1"
object category "T_Valuables_Jewelry",1,0,0,0,0,0,0,0
object category "I_OBJ_Pearl",1,0,0,0,0,0,0,0
object category "T_GEN_Seashell",2,0,0,0,0,0,0,0
object category "T_ST_Food_Fish",2,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Mergrass",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Wispweed",1,0,0,0,0,0,0,0
new treasuretable "Monster_Sahuagin_Champion"
new subtable "2,1"
object category "T_Valuables_Jewelry",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Pearl",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Valuables_Gems",1,0,0,0,0,0,0,0
new treasuretable "Monster_Skeleton"
new subtable "0,1;1,1"
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Gold_Pocket_Normal",1,0,0,0,0,0,0,0
object category "T_Valuables_Jewelry",1,0,0,0,0,0,0,0
object category "T_Valuables_Gems",1,0,0,0,0,0,0,0
object category "I_OBJ_Bone",1,0,0,0,0,0,0,0
object category "I_OBJ_Candle",1,0,0,0,0,0,0,0
new treasuretable "Monster_Spider"
new subtable "0,1;1,2"
object category "I_ALCH_Ingredient_Part_SpiderGland",1,0,0,0,0,0,0,0
new treasuretable "Monster_SteelWatcher"
new subtable "1,1"
object category "I_OBJ_InfernalPlate",1,0,0,0,0,0,0,0
object category "I_OBJ_InfernalPlate_B",1,0,0,0,0,0,0,0
object category "I_OBJ_InfernalPlate_C",1,0,0,0,0,0,0,0
new treasuretable "Monster_OchreJelly"
new subtable "1,1"
object category "I_ALCH_Ingredient_Part_OchreJellySlime",1,0,0,0,0,0,0,0
new subtable "1,1;2,1"
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
object category "T_ST_MartialMeleeWeapons",1,0,0,0,0,0,0,0
object category "T_Valuables_Jewelry",1,0,0,0,0,0,0,0
new treasuretable "Monster_Worg"
CanMerge 1
new subtable "1,1"
object category "I_ALCH_Ingredient_Part_WorgFang",1,0,0,0,0,0,0,0
new treasuretable "TEST_ALCH_Ingredients"
new subtable "3,1"
object category "I_CONS_Mushrooms_SilvanTruffle",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_CONS_Herbs_Balsam",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_BeholderEye",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Herb_BlackOleander",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_CONS_Mushrooms_BullywugTrumpet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_AutomatonPart",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_AutomatonPart_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_AutomatonPart_C",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_CONS_Herbs_Daggeroot",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_DivineBoneShard",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_CONS_Mushrooms_DragonEggMushroom",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Herb_NightOrchid",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_HillGiantFinger",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_CloudGiantFinger",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Part_HyenaEar",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Part_ImpPatagium",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Part_IntellectDevourer",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_KiRinHair",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_OBJ_Crystal_Laculite",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Part_MudMephitWing",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_CONS_Herbs_Mugwort",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Mushroom_ShadowrootSac",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_PlanetarFeather",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_CONS_Mushrooms_RoguesMorsel",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_UnicornHorn",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_XornScales",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_YellowMuskCreeper",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_CONS_Herbs_Weavemoss",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_CONS_Herbs_Mergrass",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_CONS_Herbs_Wispweed",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_CONS_Herbs_Autumncrocus",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_OBJ_Crystal_Viridian",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_OBJ_Crystal_ChasmCreeper",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Part_EagleFeather",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_PegasusFeather",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_Nothic",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Part_OchreJellySlime",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Part_ScryingEye",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_OBJ_Crystal_SylvanStone",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_CONS_Mushrooms_Bonecap",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_CarrionCrawler",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_OBJ_Crystal_LolthsCandle",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_FireAmber",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Part_MagmaMephitHeart",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Part_Shadowcursed",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Part_IceMephitHeart",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_SnakeFang",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_WyvernStinger",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_PurpleWorm",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Part_WoodBark",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_CONS_Mushrooms_SporeTimmask",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Part_MyconidSpore_Haste",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Part_MyconidSpore_Poison",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Part_SpiderGland",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Part_WorgFang",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_CONS_Mushrooms_TongueOfMadness",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_BehirScales",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_LOOT_Underdark_HookHorrorClaw",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Part_GremishkaTail",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_FrostSalamander",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_CONS_Mushrooms_SwarmingToadstool",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_CONS_Herbs_Belladonna",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_CONS_Mushrooms_Nightlight_Piece",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_ALCH_Ingredient_Loot_GauthEye",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_SCL_Distillery_PurpleWormPoisonIngredient",1,0,0,0,0,0,0,0
new treasuretable "TEST_ALCH_Extracts"
new subtable "1,1"
object category "I_ALCH_Extract_AcornTruffle",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_AutumnCrocus",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_Balsam",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_BehirScales",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_BeholderEye",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_Belladonna",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_BlackOleander",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_Bonecap",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_BullywugTrumpet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_ChasmCreeper",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_CloudGiantFinger",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_ConstructPart",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_CarrionCrawler",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_CorpseRose",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_Daggeroot",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_DivineBoneShard",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_DragonEggMushroom",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_EagleFeather",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_FireAmber",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_FrostSalamander",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_NightOrchid",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_GremishkaTail",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_HillGiantFinger",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_HookHorrorClaw",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_HyenaEar",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_IceMephitHeart",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_ImpPatagium",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_IntellectDevourer",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_KiRinHair",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_Laculite",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_LolthsCandle",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_MagmaMephitHeart",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_Mergrass",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_MudMephitWing",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_Mugwort",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_MyconidSpore_Confusion",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_MyconidSpore_Haste",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_MyconidSpore_Poison",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_Nightlight",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_NothicEye",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_OchreJellySlime",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_PegasusFeather",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_PlanetarFeather",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_PurpleWorm",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_RoguesMorsel",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_ScryingEye",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_Shadowcursed",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_ShadowrootSac",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_SnakeFang",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_SpiderGland",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_SwarmingToadstool",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_SylvanStone",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_TongueOfMadness",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_UnicornHorn",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_XornScales",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_YellowMuskCreeper",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_ViridianCrystal",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_Weavemoss",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_Wispweed",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_WoodBark",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_WorgFang",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_WyvernStinger",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Extract_GauthEye",1,0,0,0,0,0,0,0
new treasuretable "TEST_ALCH_Solutions"
new subtable "1,1"
object category "I_OBJ_Potion_Healing",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Healing_Greater",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Healing_Superior",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Healing_Supreme",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Of_Animal_Speaking",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Potion_DetectThoughts",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Potion_FeatherFall",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Potion_Jump",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Of_Speed",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Of_Invisibility",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Potion_Flying",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Of_Invulnerability",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Antitoxin",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Potion_Remedy",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Potion_Rest_Lesser",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Potion_Rest_Greater",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_Barkskin",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_Enlarge",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Of_Hill_Giant_Strength",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Of_Cloud_Giant_Strength",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Of_Heroism",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_Criticals",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_ArcaneAcuity",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_Freedom",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_Darkvision",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_Meditation",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_Meditation_Greater",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_Meditation_Superior",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_Meditation_Supreme",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Of_Fire_Resistance",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Of_Lightning_Resistance",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Of_Poison_Resistance",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Of_Necrotic_Resistance",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Of_Psychic_Resistance",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Oil_AttackBuff",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Oil_DamageAttackBuff",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Oil_Reduce",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Oil_RemoveResistanceFire",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_BasicPoison",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_DrowPoison",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_CrawlerMucus",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Malice",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Toxin_Basic",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Oil_Combustion",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Oil_Bane",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Oil_Frost",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_SerpentVenom",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_WyvernPoison",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_PurpleWormPoison",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Grenade_SporesConfusion",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Grenade_SporesHaste",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Grenade_SporesToxic",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Grenade_Light",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Bomb_Sunflash",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Grenade_Web",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_Bloodlust",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_Tadpole",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_Alertness",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_Concentration",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Oil_Wizardsbane",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_FireBottle",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_SeeInvisible",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_Tadpole",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_UNI_Poison_Brewer",1,0,0,0,0,0,0,0
new treasuretable "TEST_ALCH_Coatings"
new subtable "-1"
object category "I_OBJ_BasicPoison",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_OBJ_DrowPoison",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_OBJ_CrawlerMucus",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_OBJ_Malice",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Solution_Toxin_Basic",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_OBJ_SerpentVenom",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_OBJ_WyvernPoison",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_OBJ_PurpleWormPoison",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_UNI_Poison_Brewer",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_ALCH_Solution_Oil_AttackBuff",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_ALCH_Solution_Oil_DamageAttackBuff",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_ALCH_Solution_Oil_RemoveResistanceFire",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_ALCH_Solution_Oil_Wizardsbane",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_ALCH_Solution_Oil_Reduce",1,0,0,0,0,0,0,0
new subtable "-1"
